,toponym,pid,type,scale
36370,Wairio Hill,46882,hill,5
36371,Wairio Stream,46883,stream,3
36372,Wairiri Stream,46885,stream,3
36373,Wairiri Stream,46884,stream,3
36374,Wairiri Stream,46886,stream,3
36375,Wairoa,46887,hill,5
36376,Wairoa,46888,locality,4
36377,Wairoa,58594,farmstead,5
36378,Wairoa,46889,locality,4
36379,Wairoa,46890,populated place,4
36380,Wairoa,57093,mountain,5
36381,Wairoa Bay,46893,bay,3
36382,Wairoa Bay,46892,bay,3
36383,Wairoa Bay,46891,bay,3
36384,Wairoa Bay,46894,bay,3
36385,Wairoa Dam,46895,dam,5
36386,Wairoa Falls,6807,waterfall(s),5
36387,Wairoa Pa,46896,historical site,5
36388,Wairoa Point,46898,point,4
36389,Wairoa Reservoir,46899,lake,4
36390,Wairoa River,46900,stream,3
36391,Wairoa River,46906,stream,3
36392,Wairoa River,46904,stream,3
36393,Wairoa River,46902,stream,3
36394,Wairoa River,46903,stream,3
36395,Wairoa River,46901,stream,3
36396,Wairoa River,46905,stream,3
36397,Wairoa Stream,46925,stream,3
36398,Wairoa Stream,46923,stream,3
36399,Wairoa Stream,46920,stream,3
36400,Wairoa Stream,46919,stream,3
36401,Wairoa Stream,46917,stream,3
36402,Wairoa Stream,46914,stream,3
36403,Wairoa Stream,46911,stream,3
36404,Wairoa Stream,46922,stream,3
36405,Wairoa Stream,46909,stream,3
36406,Wairoa Stream,46921,stream,3
36407,Wairoa Stream,46918,stream,3
36408,Wairoa Stream,46916,stream,3
36409,Wairoa Stream,46910,stream,3
36410,Wairoa Stream,46915,stream,3
36411,Wairoa Stream,46913,stream,3
36412,Wairoa Stream,46924,stream,3
36413,Wairoa Stream,46908,stream,3
36414,Wairoa Stream,6809,stream,3
36415,Wairoa Stream,46907,stream,3
36416,Wairoa Stream,6808,stream,3
36417,Wairohia Stream,46926,stream,3
36418,Wairongomai River,46927,stream,3
36419,Wairongomai Stream,46928,stream,3
36420,Wairopa Channel,46929,strait,4
36421,Wairore Stream,46930,stream,3
36422,Wairoroma Stream,46932,stream,3
36423,Wairoro Stream,46931,stream,3
36424,Wairorouaro Creek,46933,stream,3
36425,Wairotoroto Stream,46934,stream,3
36426,Wairua,46935,mountain,5
36427,Wairua,14072,stream,3
36428,Wairua Falls,46936,waterfall(s),5
36429,Wairuaiti Stream,46942,stream,3
36430,Wairua Point,46937,point,4
36431,Wairua River,46938,stream,3
36432,Wairua Stream,46939,stream,3
36433,Wairua Stream,46941,stream,3
36434,Wairua Stream,46940,stream,3
36435,Wairuna,46943,locality,4
36436,Wairuna Peak,46944,hill,5
36437,Wairuna Stream,46945,stream,3
36438,Wairunga,46946,locality,4
36439,Wairupe Creek,46947,stream,3
36440,Wairuru Stream,46948,stream,3
36441,Wairuru Stream,46949,stream,3
36442,Waitaanga,46951,locality,4
36443,Waitaanga Saddle,46952,pass,4
36444,Waitaanga Stream,46953,stream,3
36445,Waitaha,14074,stream,3
36446,Waitaha,46954,locality,4
36447,Waitaha Cove,6810,bay,3
36448,Waitaha Gorge,46955,gorge(s),5
36449,Waitahaia River,46963,stream,3
36450,Waitahanui,46964,populated place,4
36451,Waitahanui River,46965,stream,3
36452,Waitahanui Stream,46966,stream,3
36453,Waitaha River,46956,stream,3
36454,Waitaha Stream,46960,stream,3
36455,Waitaha Stream,46957,stream,3
36456,Waitaha Stream,46958,stream,3
36457,Waitaha Stream,46961,stream,3
36458,Waitaha Stream,46959,stream,3
36459,Waitaha Stream,46962,stream,3
36460,Waitaheke Stream,46967,stream,3
36461,Waitahere Stream,46968,stream,3
36462,Waitahi Bluff,46969,cliff(s),4
36463,Waitahoata Stream,46970,stream,3
36464,Waitahora,46971,locality,4
36465,Waitahora Lagoon,46972,lake,4
36466,Waitahora Stream,46973,stream,3
36467,Waitahora Stream,46974,stream,3
36468,Waitahora Stream,46975,stream,3
36469,Waitahota Stream,46976,stream,3
36470,Waitahu,46977,locality,4
36471,Waitahuna,46980,populated place,4
36472,Waitahuna Gully,46981,gorge(s),5
36473,Waitahuna Gully,46982,gorge(s),5
36474,Waitahuna Hill,46983,mountain,5
36475,Waitahuna Island,46984,island,4
36476,Waitahuna West,46986,locality,4
36477,Waitahu River,46978,stream,3
36478,Waitahu Saddle,46979,pass,4
36479,Waitai,58607,populated place,4
36480,Waitaia,46988,hill,5
36481,Waitaia Bay,46989,bay,3
36482,Waitaia Stream,46993,stream,3
36483,Waitaia Stream,46994,stream,3
36484,Waitaia Stream,46990,stream,3
36485,Waitaia Stream,46992,stream,3
